user_id,age,gender,weight,height,bmi,goal,sleep_hours,sleep_quality,bedtime_hour,wake_time,fatigue_level,steps_walked,exercise_minutes,exercise_type,calories_burned,heart_rate_avg,calories_intake,protein_intake,junk_food_freq,water_intake,meal_frequency,stress_level,mood,screen_time,work_hours,social_interaction,meditation_minutes,hair_condition,skin_condition,sun_exposure,water_quality,workout_plan,diet_plan,lifestyle_change,mental_care,hair_skin_care
U0017,18,Female,54,188,15.3,muscle_gain,7.7,3,0,6,3,8253,56,cardio,319,64,2570,142,5,3.6,5,5,10,3,11,low,6,4,1,5,average,Strength Training,Balanced Diet,None,None,Skin Care
U0018,22,Male,54,159,21.4,stress_relief,4.2,2,22,5,10,10823,0,mixed,424,104,2015,45,6,3.8,5,4,8,5,5,high,27,1,1,4,poor,Moderate Workout,High Protein,Improve Sleep,None,Skin Care
U0019,28,Male,52,161,20.1,weight_loss,8.8,2,23,7,2,11738,49,none,314,76,1589,37,4,3.5,3,2,3,2,10,medium,20,2,5,2,good,Moderate Workout,High Protein,None,Relaxation,Maintain Routine
U0020,41,Female,70,174,23.1,weight_loss,5.4,2,1,6,8,3786,48,none,135,77,2508,132,6,3.8,2,1,7,6,10,low,2,1,1,0,average,Light Cardio,Balanced Diet,Improve Sleep,None,Skin Care
U0021,37,Female,71,174,23.5,weight_loss,8.5,1,0,8,9,9082,11,cardio,383,73,2234,81,2,2.5,5,5,5,4,7,low,19,3,5,3,good,Moderate Workout,Balanced Diet,None,None,Maintain Routine
U0022,40,Female,94,188,26.6,weight_loss,6.5,2,1,8,7,9924,42,none,245,106,2087,38,1,3.5,2,6,7,7,8,medium,8,2,3,1,average,Weight Loss Workout,High Protein,None,None,Maintain Routine
U0023,22,Male,87,186,25.1,maintain,6.9,5,21,3,4,10872,6,cardio,400,63,3327,99,3,1.3,2,6,7,4,5,medium,18,3,5,4,average,Weight Loss Workout,Low Carb,None,None,Hydration
U0024,45,Female,77,169,27.0,stress_relief,4.6,1,21,4,9,2214,59,cardio,411,92,2433,146,5,3.4,2,5,6,6,6,low,3,3,3,3,good,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Maintain Routine
U0025,35,Male,64,163,24.1,maintain,9.0,3,21,4,10,11975,15,mixed,457,71,2931,57,4,1.8,5,4,10,9,5,medium,27,4,5,0,poor,Moderate Workout,Low Carb,Reduce Screen Time,None,Hydration
U0026,39,Male,58,166,21.0,weight_loss,6.1,5,0,8,3,4324,5,strength,470,64,3338,54,1,1.2,3,2,5,8,11,low,21,1,2,0,poor,Moderate Workout,Low Carb,Reduce Screen Time,None,Hydration
U0027,38,Female,71,174,23.5,maintain,8.2,5,21,3,9,8266,0,cardio,410,65,1975,110,4,4.0,3,3,5,8,8,low,4,2,2,2,good,Moderate Workout,Balanced Diet,Reduce Screen Time,None,Skin Care
U0028,38,Female,95,158,38.1,weight_loss,8.8,5,0,6,1,5976,39,mixed,133,87,1594,101,6,3.0,3,6,6,4,6,medium,11,1,4,4,average,Weight Loss Workout,Balanced Diet,None,None,Maintain Routine
U0029,47,Male,97,166,35.2,maintain,4.1,5,1,7,2,11314,50,none,291,119,2237,67,1,2.8,3,3,2,5,4,medium,0,4,2,2,good,Weight Loss Workout,Balanced Diet,Improve Sleep,Relaxation,Skin Care
U0030,22,Male,59,153,25.2,stress_relief,8.2,1,0,8,8,5164,33,strength,152,61,1704,136,2,1.7,4,9,7,8,11,high,10,4,4,0,poor,Weight Loss Workout,Balanced Diet,Reduce Screen Time,Meditation,Hydration
U0031,49,Male,78,176,25.2,stress_relief,4.9,2,23,6,5,6124,17,mixed,269,81,2928,99,0,2.6,5,10,2,2,9,medium,12,3,1,1,good,Weight Loss Workout,Low Carb,Improve Sleep,Meditation,Skin Care
U0032,32,Male,96,171,32.8,stress_relief,8.4,5,21,3,4,11247,48,none,352,111,2218,76,6,3.8,3,10,7,7,11,medium,12,2,3,2,poor,Weight Loss Workout,Balanced Diet,None,Meditation,Maintain Routine
U0033,20,Male,95,172,32.1,maintain,6.7,5,22,4,6,7882,50,none,291,84,3154,130,3,1.1,2,1,7,7,5,medium,11,1,1,4,good,Weight Loss Workout,Low Carb,None,None,Hydration
U0034,21,Female,90,152,39.0,weight_loss,6.4,4,22,5,8,7891,18,strength,200,65,2191,55,1,1.7,4,6,5,2,4,low,21,5,4,5,poor,Weight Loss Workout,Balanced Diet,None,None,Hydration
U0035,47,Female,80,179,25.0,stress_relief,8.5,3,23,6,8,5324,35,mixed,322,65,2845,113,3,3.8,4,6,6,2,9,medium,18,1,2,2,average,Moderate Workout,Low Carb,None,None,Skin Care
U0036,36,Male,55,154,23.2,muscle_gain,5.6,3,0,5,4,5208,11,none,100,85,2153,93,5,2.7,4,4,3,2,9,medium,23,2,5,1,average,Moderate Workout,Balanced Diet,Improve Sleep,Relaxation,Maintain Routine
U0037,30,Female,69,151,30.3,weight_loss,4.7,1,21,2,8,11230,34,strength,194,108,3104,91,3,3.9,3,5,8,4,4,medium,11,3,3,0,average,Weight Loss Workout,Low Carb,Improve Sleep,None,Maintain Routine
U0038,45,Female,57,178,18.0,maintain,8.0,4,23,4,5,3898,58,strength,161,63,2100,138,1,2.2,5,8,7,9,9,high,28,1,1,0,good,Light Cardio,Balanced Diet,Reduce Screen Time,Meditation,Skin Care
U0039,18,Male,63,151,27.6,weight_loss,8.5,3,23,5,6,11818,6,none,141,111,2538,140,4,2.5,3,7,4,6,9,low,0,5,5,2,poor,Weight Loss Workout,Balanced Diet,None,None,Maintain Routine
U0040,18,Female,71,153,30.3,muscle_gain,7.8,3,22,3,6,7028,30,none,327,104,1715,81,6,3.4,2,4,2,4,10,high,18,4,4,1,poor,Weight Loss Workout,Balanced Diet,None,Relaxation,Maintain Routine
U0041,44,Male,60,169,21.0,muscle_gain,8.5,2,23,7,10,11380,39,strength,309,84,2492,140,3,2.8,5,4,4,6,11,low,7,2,1,3,poor,Moderate Workout,Balanced Diet,None,None,Skin Care
U0042,43,Male,63,178,19.9,stress_relief,8.2,3,21,3,5,4476,25,strength,281,82,2324,30,6,1.9,4,8,5,8,4,low,8,2,4,0,good,Moderate Workout,High Protein,Reduce Screen Time,Meditation,Hydration
U0043,43,Male,74,184,21.9,muscle_gain,8.6,2,22,5,2,7490,16,mixed,463,118,2702,83,0,2.5,3,5,8,2,4,low,10,2,4,1,good,Moderate Workout,Balanced Diet,None,None,Maintain Routine
U0044,34,Male,69,166,25.0,weight_loss,4.7,4,1,9,1,5422,0,mixed,240,89,1714,80,2,3.4,3,1,8,4,5,low,13,3,2,1,average,Moderate Workout,Balanced Diet,Improve Sleep,None,Skin Care
U0045,45,Male,87,179,27.2,maintain,4.8,1,1,8,7,5873,9,none,465,93,2903,126,6,3.9,5,2,7,6,11,low,24,3,3,4,average,Weight Loss Workout,Low Carb,Improve Sleep,None,Maintain Routine
U0046,42,Male,52,186,15.0,maintain,7.3,2,23,7,8,10503,55,strength,499,63,3023,66,5,1.6,4,7,2,8,5,high,0,5,3,4,poor,Strength Training,Low Carb,Reduce Screen Time,Relaxation,Hydration
U0047,21,Male,51,167,18.3,weight_loss,8.1,4,23,5,2,5566,54,mixed,119,64,2304,67,5,2.1,2,3,4,3,9,low,9,3,1,1,poor,Moderate Workout,Balanced Diet,None,None,Skin Care
U0048,34,Female,89,158,35.7,muscle_gain,7.2,1,23,5,4,7809,57,cardio,208,93,3250,66,2,3.5,5,5,10,5,4,medium,1,1,5,0,average,Weight Loss Workout,Low Carb,None,None,Maintain Routine
U0049,43,Female,91,172,30.8,muscle_gain,4.7,1,23,7,2,7136,52,none,493,104,2924,55,4,2.1,3,2,6,4,4,high,20,4,3,1,good,Weight Loss Workout,Low Carb,Improve Sleep,None,Maintain Routine
U0050,38,Male,60,189,16.8,stress_relief,8.6,3,23,5,2,5150,46,mixed,345,81,1568,85,0,1.8,4,4,3,4,7,high,16,3,5,2,average,Strength Training,Balanced Diet,None,Relaxation,Hydration
U0051,26,Female,58,151,25.4,weight_loss,5.8,1,21,2,8,7185,24,none,390,62,3021,130,3,3.1,3,6,2,5,6,low,11,3,3,0,good,Weight Loss Workout,Low Carb,Improve Sleep,Relaxation,Maintain Routine
U0052,34,Female,65,161,25.1,stress_relief,7.8,5,21,4,5,3421,15,strength,299,84,1965,118,3,1.7,3,9,10,8,11,medium,15,1,2,4,average,Weight Loss Workout,Balanced Diet,Reduce Screen Time,Meditation,Hydration
U0053,43,Male,64,163,24.1,weight_loss,7.7,3,22,5,7,2500,17,none,471,98,2494,47,2,3.5,2,8,3,5,7,low,1,3,5,2,average,Light Cardio,High Protein,None,Meditation,Maintain Routine
U0054,40,Male,64,188,18.1,stress_relief,6.7,5,21,2,2,9684,41,mixed,481,61,1810,128,1,4.0,4,7,2,9,11,high,26,4,5,5,good,Moderate Workout,Balanced Diet,Reduce Screen Time,Relaxation,Maintain Routine
U0055,46,Female,93,165,34.2,maintain,6.0,1,0,5,1,4760,2,cardio,241,115,3193,143,3,3.1,2,9,1,6,9,high,8,1,1,3,poor,Weight Loss Workout,Low Carb,None,Meditation,Skin Care
U0056,43,Male,92,186,26.6,stress_relief,6.1,3,1,7,9,8878,51,mixed,158,67,3183,122,6,1.7,4,10,2,2,5,low,16,2,3,5,good,Weight Loss Workout,Low Carb,None,Meditation,Hydration
U0057,22,Female,98,172,33.1,weight_loss,8.6,2,21,2,10,3466,49,strength,161,76,1715,32,2,1.7,5,9,9,5,9,low,1,3,1,2,poor,Weight Loss Workout,High Protein,None,Meditation,Hydration
U0058,45,Male,52,158,20.8,weight_loss,8.3,2,21,4,8,10752,4,none,325,83,2647,108,5,1.8,2,10,2,7,8,low,27,5,5,0,average,Moderate Workout,Balanced Diet,None,Meditation,Hydration
U0059,25,Male,78,181,23.8,maintain,8.1,2,23,4,1,10477,23,none,435,99,1591,126,2,3.6,2,9,5,3,7,high,26,4,5,2,good,Moderate Workout,Balanced Diet,None,Meditation,Maintain Routine
U0060,43,Male,72,180,22.2,muscle_gain,4.6,3,1,7,7,4998,17,mixed,357,73,2088,122,3,1.0,5,1,9,2,11,high,1,4,5,2,average,Moderate Workout,Balanced Diet,Improve Sleep,None,Hydration
U0061,36,Female,59,156,24.2,weight_loss,8.8,4,0,7,5,6084,21,mixed,451,95,2765,97,2,1.5,5,6,1,3,9,low,21,2,3,1,average,Moderate Workout,Balanced Diet,None,Relaxation,Hydration
U0062,31,Female,61,178,19.3,stress_relief,7.2,4,1,9,7,9220,10,cardio,233,106,1578,61,2,1.8,4,10,2,7,5,low,3,1,3,4,good,Moderate Workout,Balanced Diet,None,Meditation,Hydration
U0063,24,Male,78,178,24.6,maintain,5.1,2,0,6,3,3896,43,mixed,191,88,1520,76,4,2.9,3,3,9,6,6,high,0,2,4,5,poor,Light Cardio,Balanced Diet,Improve Sleep,None,Maintain Routine
U0064,19,Male,98,184,28.9,weight_loss,7.6,2,0,8,8,6179,45,cardio,244,88,2832,37,6,2.4,3,4,7,4,8,low,23,4,2,2,average,Weight Loss Workout,Low Carb,None,None,Skin Care
U0065,32,Male,63,179,19.7,maintain,4.6,4,0,8,9,6797,47,cardio,418,81,2513,146,4,2.8,5,1,8,6,5,medium,17,3,5,0,good,Moderate Workout,Balanced Diet,Improve Sleep,None,Maintain Routine
U0066,45,Female,60,157,24.3,muscle_gain,7.7,1,21,5,9,4117,31,none,179,113,2609,121,3,2.0,5,2,1,3,4,low,8,5,1,4,average,Moderate Workout,Balanced Diet,None,Relaxation,Skin Care
U0067,39,Male,87,151,38.2,maintain,5.0,2,22,5,2,1105,54,mixed,404,99,3494,90,2,3.7,2,6,9,8,10,low,17,4,2,3,average,Weight Loss Workout,Low Carb,Improve Sleep,None,Skin Care
U0068,37,Female,60,156,24.7,stress_relief,6.8,2,22,5,3,8294,40,mixed,461,73,2470,111,5,2.8,5,9,3,3,6,high,13,4,5,4,poor,Moderate Workout,Balanced Diet,None,Meditation,Maintain Routine
U0069,38,Male,93,181,28.4,muscle_gain,4.1,3,1,9,8,3920,58,none,301,110,1534,90,4,2.3,4,1,7,5,4,medium,20,2,5,3,good,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Maintain Routine
U0070,21,Female,73,169,25.6,muscle_gain,8.3,1,0,6,5,6631,35,strength,434,93,2431,35,6,1.8,4,10,6,6,7,high,12,2,5,0,poor,Weight Loss Workout,High Protein,None,Meditation,Hydration
U0071,43,Female,97,185,28.3,muscle_gain,4.9,4,22,5,5,5648,53,mixed,480,106,1513,149,6,2.1,3,7,6,2,6,low,24,4,2,2,good,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Skin Care
U0072,22,Male,89,150,39.6,stress_relief,4.7,5,23,5,3,1629,13,mixed,192,69,2343,123,0,2.3,5,8,1,2,11,medium,19,4,1,2,good,Weight Loss Workout,Balanced Diet,Improve Sleep,Meditation,Skin Care
U0073,32,Male,86,161,33.2,weight_loss,8.2,4,0,7,6,1619,58,cardio,469,73,3165,102,6,1.7,3,1,7,4,9,low,20,3,5,0,good,Weight Loss Workout,Low Carb,None,None,Hydration
U0074,36,Female,91,161,35.1,stress_relief,8.9,3,23,5,2,8473,28,cardio,138,90,2707,140,2,2.5,5,6,4,8,11,medium,12,4,2,1,poor,Weight Loss Workout,Balanced Diet,Reduce Screen Time,None,Skin Care
U0075,25,Female,50,170,17.3,maintain,7.4,5,22,3,7,6238,25,none,213,77,2668,55,6,2.7,5,8,9,7,7,low,0,3,5,4,good,Strength Training,Balanced Diet,None,Meditation,Maintain Routine
U0076,43,Female,51,177,16.3,muscle_gain,7.0,1,21,2,9,7924,8,cardio,176,90,1988,104,3,3.0,3,4,6,4,9,medium,17,5,1,2,good,Strength Training,Balanced Diet,None,None,Skin Care
U0077,28,Male,56,173,18.7,weight_loss,5.6,1,0,6,7,3190,20,none,415,88,2996,62,0,2.6,4,6,10,4,6,medium,13,2,2,5,good,Light Cardio,Low Carb,Improve Sleep,None,Skin Care
U0078,20,Male,57,175,18.6,stress_relief,8.2,4,1,6,10,5760,11,cardio,403,96,2474,73,3,2.8,5,7,6,7,5,high,10,5,5,2,poor,Moderate Workout,Balanced Diet,None,None,Maintain Routine
U0079,33,Male,74,164,27.5,stress_relief,8.6,4,1,6,6,5882,33,strength,480,63,2507,146,3,3.0,2,3,8,9,5,medium,17,2,1,4,average,Weight Loss Workout,Balanced Diet,Reduce Screen Time,None,Skin Care
U0080,42,Female,56,160,21.9,maintain,8.3,5,21,3,10,6047,35,mixed,473,66,3345,30,3,1.1,3,7,6,7,8,medium,27,1,2,0,poor,Moderate Workout,Low Carb,None,None,Hydration
U0081,27,Female,73,157,29.6,stress_relief,6.8,3,1,9,2,7807,18,mixed,159,98,2725,118,1,3.3,3,1,7,3,8,high,16,3,4,1,good,Weight Loss Workout,Balanced Diet,None,None,Maintain Routine
U0082,40,Male,71,166,25.8,stress_relief,5.6,3,0,7,10,10160,13,cardio,353,84,2269,93,2,2.8,3,3,10,7,8,high,8,1,3,3,average,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Maintain Routine
U0083,36,Female,87,175,28.4,muscle_gain,8.5,5,0,8,5,8843,2,cardio,235,92,3414,99,0,2.9,2,1,2,5,8,high,20,2,3,5,good,Weight Loss Workout,Low Carb,None,Relaxation,Maintain Routine
U0084,43,Male,55,171,18.8,muscle_gain,9.0,2,21,4,2,10686,29,mixed,363,81,3335,87,3,3.9,2,9,7,9,5,medium,29,1,4,0,poor,Moderate Workout,Low Carb,Reduce Screen Time,Meditation,Maintain Routine
U0085,33,Female,77,172,26.0,maintain,4.8,5,0,8,8,9555,0,cardio,385,80,2607,99,5,1.3,4,1,5,9,7,medium,19,2,5,5,good,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Hydration
U0086,40,Female,90,151,39.5,weight_loss,5.7,1,21,2,3,6299,22,strength,295,77,1810,35,2,3.4,4,6,5,5,5,high,16,2,2,4,poor,Weight Loss Workout,High Protein,Improve Sleep,None,Skin Care
U0087,47,Female,63,179,19.7,muscle_gain,4.7,4,21,4,5,8842,1,none,229,94,2989,107,3,2.7,3,9,2,2,8,medium,0,4,1,5,average,Moderate Workout,Low Carb,Improve Sleep,Meditation,Skin Care
U0088,31,Male,84,152,36.4,weight_loss,8.1,5,1,7,8,3964,33,mixed,124,74,3103,74,3,3.3,5,4,2,6,7,high,5,5,3,5,average,Weight Loss Workout,Low Carb,None,Relaxation,Maintain Routine
U0089,45,Male,80,168,28.3,maintain,6.8,2,22,3,2,7525,10,strength,352,90,2579,108,0,2.3,2,3,5,2,7,medium,13,3,4,0,poor,Weight Loss Workout,Balanced Diet,None,None,Maintain Routine
U0090,25,Male,88,186,25.4,stress_relief,5.5,4,0,8,6,4302,49,none,215,94,2018,56,3,2.4,4,5,6,6,9,high,1,3,5,5,average,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Maintain Routine
U0091,32,Male,72,159,28.5,muscle_gain,4.9,5,21,2,5,11201,49,cardio,312,112,1837,130,4,1.1,2,3,1,5,6,high,20,4,5,1,average,Weight Loss Workout,Balanced Diet,Improve Sleep,Relaxation,Hydration
U0092,21,Female,89,167,31.9,maintain,5.9,4,1,7,10,7164,41,cardio,212,100,1691,46,0,3.8,3,1,10,3,5,low,27,3,2,2,average,Weight Loss Workout,High Protein,Improve Sleep,None,Skin Care
U0093,25,Male,66,164,24.5,stress_relief,6.3,5,23,4,1,7230,36,mixed,432,67,3028,116,2,3.0,4,8,3,9,4,low,19,5,2,5,poor,Moderate Workout,Low Carb,Reduce Screen Time,Meditation,Skin Care
U0094,37,Male,56,168,19.8,maintain,4.9,3,22,3,5,7493,53,mixed,107,69,3073,140,3,3.7,5,8,9,2,5,high,17,3,1,3,average,Moderate Workout,Low Carb,Improve Sleep,Meditation,Skin Care
U0095,21,Female,99,174,32.7,muscle_gain,8.0,4,23,7,2,11613,12,cardio,259,90,3435,61,3,1.5,3,1,8,3,10,low,24,3,4,1,good,Weight Loss Workout,Low Carb,None,None,Hydration
U0096,35,Female,69,179,21.5,weight_loss,7.4,3,21,5,5,10759,29,none,138,108,2279,134,6,1.8,2,5,8,7,11,medium,6,4,3,5,average,Moderate Workout,Balanced Diet,None,None,Hydration
U0097,28,Male,77,171,26.3,weight_loss,7.6,2,1,6,4,9474,49,none,187,103,1960,51,2,3.3,2,8,3,8,9,high,22,5,4,0,good,Weight Loss Workout,Balanced Diet,Reduce Screen Time,Meditation,Maintain Routine
U0098,32,Female,57,165,20.9,weight_loss,7.7,3,21,5,8,6343,41,strength,109,80,3419,75,6,2.8,3,9,9,5,7,medium,9,2,2,5,good,Moderate Workout,Low Carb,None,Meditation,Skin Care
U0099,31,Female,69,183,20.6,maintain,7.8,3,1,7,4,10596,3,mixed,493,83,2513,128,1,2.2,2,6,8,8,8,medium,5,4,4,0,good,Moderate Workout,Balanced Diet,Reduce Screen Time,None,Maintain Routine
U0100,37,Male,53,156,21.8,weight_loss,7.2,5,22,5,4,4959,23,strength,257,77,3438,60,3,3.5,2,3,6,9,8,medium,25,5,4,2,good,Moderate Workout,Low Carb,Reduce Screen Time,None,Maintain Routine
U0101,21,Female,67,182,20.2,maintain,5.1,3,0,7,9,2019,53,cardio,260,76,1697,33,3,3.4,4,6,7,2,5,low,24,4,5,1,average,Light Cardio,High Protein,Improve Sleep,None,Maintain Routine
U0102,20,Male,94,179,29.3,muscle_gain,6.6,5,23,4,3,2449,34,strength,168,88,3355,66,3,3.4,3,5,4,7,5,medium,6,2,3,0,good,Weight Loss Workout,Low Carb,None,None,Maintain Routine
U0103,21,Female,69,180,21.3,stress_relief,6.4,5,0,6,6,10435,6,none,319,73,2131,39,5,2.3,2,6,9,6,7,high,19,2,2,2,good,Moderate Workout,High Protein,None,None,Skin Care
U0104,38,Female,76,182,22.9,maintain,4.4,2,23,7,8,10135,6,cardio,253,103,3411,43,0,2.5,2,2,5,4,10,medium,4,1,3,2,good,Moderate Workout,Low Carb,Improve Sleep,None,Maintain Routine
U0105,38,Female,90,161,34.7,weight_loss,4.8,4,22,3,7,1597,54,cardio,180,83,3096,90,1,2.2,4,9,7,7,4,low,1,2,1,1,good,Weight Loss Workout,Low Carb,Improve Sleep,Meditation,Skin Care
U0106,22,Female,97,171,33.2,weight_loss,7.3,2,23,4,7,9535,46,mixed,393,119,2070,39,2,1.2,4,1,7,6,7,medium,3,4,5,5,average,Weight Loss Workout,High Protein,None,None,Hydration
U0107,44,Male,77,189,21.6,muscle_gain,6.8,2,21,5,3,11183,43,cardio,141,111,1726,35,6,3.0,2,2,3,6,6,high,23,4,2,3,good,Moderate Workout,High Protein,None,Relaxation,Skin Care
U0108,21,Male,57,170,19.7,maintain,7.2,2,22,6,4,4525,11,strength,362,75,1886,138,2,3.7,4,8,6,2,7,low,22,5,4,2,good,Moderate Workout,Balanced Diet,None,Meditation,Maintain Routine
U0109,21,Female,95,155,39.5,muscle_gain,8.3,1,0,7,7,8183,0,none,208,114,2512,50,5,2.9,5,6,10,8,6,high,26,5,1,2,good,Weight Loss Workout,Balanced Diet,Reduce Screen Time,None,Skin Care
U0110,21,Male,83,169,29.1,muscle_gain,4.4,5,23,4,9,10587,37,strength,233,78,3095,73,0,2.4,4,9,5,9,5,medium,2,4,4,5,average,Weight Loss Workout,Low Carb,Improve Sleep,Meditation,Maintain Routine
U0111,33,Male,75,177,23.9,muscle_gain,7.6,3,0,6,9,7450,46,strength,413,70,2452,52,5,3.2,5,3,1,5,8,medium,1,3,4,5,good,Moderate Workout,Balanced Diet,None,Relaxation,Maintain Routine
U0112,37,Female,57,150,25.3,maintain,5.4,3,0,6,9,6925,14,none,120,94,2836,146,4,3.0,3,4,1,8,4,high,27,5,2,2,good,Weight Loss Workout,Low Carb,Improve Sleep,Relaxation,Skin Care
U0113,23,Male,72,176,23.2,maintain,4.6,4,1,9,3,6661,13,none,183,108,1780,69,5,3.8,4,6,9,4,9,high,2,2,3,0,good,Moderate Workout,Balanced Diet,Improve Sleep,None,Maintain Routine
U0114,24,Female,68,158,27.2,maintain,6.2,5,1,9,8,11704,29,cardio,419,92,2899,81,0,3.5,2,3,9,4,9,medium,8,4,3,3,average,Weight Loss Workout,Low Carb,None,None,Maintain Routine
U0115,26,Male,90,171,30.8,stress_relief,4.9,5,21,5,3,1778,45,strength,354,80,2848,77,3,1.7,5,1,5,6,4,low,8,4,3,0,average,Weight Loss Workout,Low Carb,Improve Sleep,None,Hydration
U0116,41,Female,57,150,25.3,weight_loss,7.5,4,0,6,9,11265,51,cardio,331,80,3342,67,3,3.4,4,4,7,8,7,medium,11,5,3,5,average,Weight Loss Workout,Low Carb,Reduce Screen Time,None,Maintain Routine
U0117,41,Female,90,176,29.1,weight_loss,5.3,1,22,3,6,9921,26,mixed,479,101,2972,86,4,2.4,4,8,3,9,8,low,12,5,1,5,good,Weight Loss Workout,Low Carb,Improve Sleep,Meditation,Skin Care
U0118,47,Female,82,169,28.7,muscle_gain,6.3,5,21,5,10,6482,53,strength,332,68,2867,66,0,2.9,5,5,3,4,10,high,8,5,3,5,poor,Weight Loss Workout,Low Carb,None,Relaxation,Maintain Routine
U0119,28,Male,89,150,39.6,stress_relief,7.6,5,1,6,1,7246,27,strength,107,84,2358,75,6,3.2,4,7,1,8,7,medium,17,2,4,5,good,Weight Loss Workout,Balanced Diet,Reduce Screen Time,Relaxation,Maintain Routine
U0120,48,Female,86,167,30.8,maintain,7.0,4,21,2,10,8922,14,cardio,357,88,1604,103,1,3.7,2,10,2,4,9,low,24,4,3,3,average,Weight Loss Workout,Balanced Diet,None,Meditation,Maintain Routine
